DEL.;COMPETICIÓN;CATEGORÍA;FASE;GRUPO;JORNADA;CLUB L.;EQ. LOCAL;PTS. L.;CLUB V.;EQ. VISITANTE;PTS. V.;FECHA;HORA;ESTADO;INFORME;CAMPO;DIRECCIÓN;POBLACIÓN;AFORO;VESTUARIOS;IDENTIFICADOR;
FBM;COMPETICIONES FEDERADAS FBM;Junior Masc. Pref.;PRIMERA 4ª DIVISION;GRUPO 1;5;SPORT RAICES MOSTOLES;OPTICLASS RAÍCES MÓSTOLES "B";55;VALLEKAS BASKET CDE;VALLEKAS BASKET AZUL;64;18/10/2025;18:30;Terminado;SÍ;PIO BAROJA, C.P.;CAMINO CARRASQUILLAS, S/N;Móstoles;0;NO;314315;
FBM;COMPETICIONES FEDERADAS FBM;Junior Masc. Pref.;PRIMERA 2ª DIVISION;GRUPO 4;5;VALLEKAS BASKET CDE;VALLEKAS BASKET NARANJA;54;MADRID SIERRA C.D.E.;BECERRIL DE LA SIERRA;55;19/10/2025;09:15;Terminado;NO;ZAZUAR, COLEGIO;ZAZUAR, 17;Madrid;0;NO;313460;
FBM;COMPETICIONES FEDERADAS FBM;Sub 22 Masc. PLATA;PRIMERA FASE;GRUPO 3;2;ESTUDIO C.D.;ESTUDIO;54;VALLEKAS BASKET CDE;VALLEKAS BASKET;58;19/10/2025;13:00;Terminado;NO;PACO HERNANDEZ, PABELLON;VALDELINARES, 7;Aravaca;0;NO;325547;
FBM;COMPETICIONES FEDERADAS FBM;Cadete Masc. Pref.;PRIMERA 3ª DIVISION;GRUPO 3;4;VALLEKAS BASKET CDE;VALLEKAS BASKET NARANJA;46;ESTUDIANTES;MOVISTAR ESTUDIANTES MARTINEZ;41;25/10/2025;09:15;Terminado;NO;ZAZUAR, COLEGIO;ZAZUAR, 17;Madrid;0;NO;319247;
FBM;COMPETICIONES FEDERADAS FBM;Cadete Masc. Pref.;PRIMERA 4ª DIVISION;GRUPO 3;4;VALDELUZ;VALDELUZ A;76;VALLEKAS BASKET CDE;VALLEKAS BASKET AZUL;47;25/10/2025;11:15;Terminado;NO;VALDELUZ, PABELLON COLEGIO;PINTOR FRANCISCO LLORENS, 2;Madrid;0;NO;319934;
FBM;COMPETICIONES FEDERADAS FBM;Junior Masc. Pref.;PRIMERA 2ª DIVISION;GRUPO 4;6;VILLA DE EL ESCORIAL C.D.E.;LOS LEONES DE EL ESCORIAL;46;VALLEKAS BASKET CDE;VALLEKAS BASKET NARANJA;70;25/10/2025;15:15;Terminado;NO;NAVAARMADO PATRICIA GARCIA, PDVO.;NAVAARMADO, 5;Escorial, El;0;SÍ;313464;
FBM;COMPETICIONES FEDERADAS FBM;2ª Div Aut Fem PLATA;PRIMERA FASE;GRUPO 3;1;LOS NEGRALES 22 C.D.E.;COLCHONESYCANAPES.COM LOS NEGRALES '22;97;VALLEKAS BASKET CDE;VALLEKAS BASKET;21;26/10/2025;09:00;Terminado;NO;LOS NEGRALES, POLIDEPORTIVO;SANTA EMILIA, 70 (LOS NEGRALES);Alpedrete;0;NO;344420;
FBM;COMPETICIONES FEDERADAS FBM;Junior Masc. Pref.;PRIMERA 4ª DIVISION;GRUPO 1;6;VALLEKAS BASKET CDE;VALLEKAS BASKET AZUL;48;MONTESSORI HORTALEZA;MONTESSORI;73;26/10/2025;09:15;Terminado;NO;ZAZUAR, COLEGIO;ZAZUAR, 17;Madrid;0;NO;314324;
FBM;COMPETICIONES FEDERADAS FBM;2ª Div Aut Masc BRONCE;PRIMERA FASE;GRUPO 1;1;VALLEKAS BASKET CDE;VALLEKAS BASKET;90;VICALVARO BALONCESTO CDE;VICALVARO BALONCESTO CDE;34;26/10/2025;16:00;Terminado;NO;ENTREVIAS, PDVO. MPAL.;RONDA DEL SUR esquina STA. RAFAELA MARIA DEL ;Madrid;0;NO;343073;
FBM;COMPETICIONES FEDERADAS FBM;Sub 22 Masc. PLATA;PRIMERA FASE;GRUPO 3;3;VALLEKAS BASKET CDE;VALLEKAS BASKET;54;TORRELODONES A.D.;JANSEN BT "B";79;26/10/2025;17:00;Terminado;NO;WILFRED AGBONAVBARE, PABELLON;C/ REGUERA DE TOMATEROS, 39;Madrid;0;NO;325553;
