DEL.;COMPETICIÓN;CATEGORÍA;FASE;GRUPO;JORNADA;CLUB L.;EQ. LOCAL;PTS. L.;CLUB V.;EQ. VISITANTE;PTS. V.;FECHA;HORA;ESTADO;INFORME;CAMPO;DIRECCIÓN;POBLACIÓN;AFORO;VESTUARIOS;IDENTIFICADOR;
;COMPETICIONES FEDERADAS FBM;Junior Masculino LIGA AHORRAMAS - ORO;PRIMERA FASE;GRUPO 2;7;FUNDAL ALCOBENDAS "A";FUNDAL ALCOBENDAS "A";;ZENTRO BASKET MADRID;ZENTRO BASKET MADRID;;16/11/2025;20:00;;;ANTELA PARADA, PABELLON;FRANCISCO CHICO MENDES, 8;Alcobendas;;;JR-G2-J07-FUNDALALCOBEND-ZENTROBASKETMA;
;COMPETICIONES FEDERADAS FBM;Junior Masculino LIGA AHORRAMAS - ORO;PRIMERA FASE;GRUPO 2;7;MOVISTAR ESTUDIANTES "A";MOVISTAR ESTUDIANTES "A";;BALONCESTO FUENLABRADA "A";BALONCESTO FUENLABRADA "A";;16/11/2025;20:00;;;MOVISTAR ACADEMY MAGARIÑOS,;PABELLON SERRANO, 129;Madrid;;;JR-G2-J07-MOVISTARESTUDI-BALONCESTOFUEN;
;COMPETICIONES FEDERADAS FBM;Junior Masculino LIGA AHORRAMAS - ORO;PRIMERA FASE;GRUPO 2;8;MOVISTAR ESTUDIANTES "A";MOVISTAR ESTUDIANTES "A";;BRAINS MORALEJA A;BRAINS MORALEJA A;;23/11/2025;20:00;;;MOVISTAR ACADEMY MAGARIÑOS,;PABELLON SERRANO, 129;Madrid;;;JR-G2-J08-MOVISTARESTUDI-BRAINSMORALEJA;
;COMPETICIONES FEDERADAS FBM;Junior Masculino LIGA AHORRAMAS - ORO;PRIMERA FASE;GRUPO 2;8;BALONCESTO FUENLABRADA "A";BALONCESTO FUENLABRADA "A";;FUNDAL ALCOBENDAS "A";FUNDAL ALCOBENDAS "A";;23/11/2025;17:00;;;EL ARROYO, PABELLON;FUENTESAUCO, 1;Fuenlabrada;;;JR-G2-J08-BALONCESTOFUEN-FUNDALALCOBEND;
;COMPETICIONES FEDERADAS FBM;Junior Masculino LIGA AHORRAMAS - ORO;PRIMERA FASE;GRUPO 2;8;ZENTRO BASKET MADRID;ZENTRO BASKET MADRID;;LASO ACADEMY "A";LASO ACADEMY "A";;23/11/2025;18:30;;;ANTONIO DIAZ MIGUEL, PDVO. MPAL.;JOAQUIN DICENTA, 1;Madrid;;;JR-G2-J08-ZENTROBASKETMA-LASOACADEMYA;
;COMPETICIONES FEDERADAS FBM;Junior Masculino LIGA AHORRAMAS - ORO;PRIMERA FASE;GRUPO 2;9;ZENTRO BASKET MADRID;ZENTRO BASKET MADRID;;BRAINS MORALEJA A;BRAINS MORALEJA A;;30/11/2025;18:30;;;ANTONIO DIAZ MIGUEL, PDVO. MPAL.;JOAQUIN DICENTA, 1;Madrid;;;JR-G2-J09-ZENTROBASKETMA-BRAINSMORALEJA;
;COMPETICIONES FEDERADAS FBM;Junior Masculino LIGA AHORRAMAS - ORO;PRIMERA FASE;GRUPO 2;9;LASO ACADEMY "A";LASO ACADEMY "A";;BALONCESTO FUENLABRADA "A";BALONCESTO FUENLABRADA "A";;30/11/2025;19:00;;;UCJC SPORTS CLUB;CASTILLO DE ALARCON, 47 URB. VILLAFRANCA DEL CASTILLO;Madrid;;;JR-G2-J09-LASOACADEMYA-BALONCESTOFUEN;
;COMPETICIONES FEDERADAS FBM;Junior Masculino LIGA AHORRAMAS - ORO;PRIMERA FASE;GRUPO 2;9;FUNDAL ALCOBENDAS "A";FUNDAL ALCOBENDAS "A";;MOVISTAR ESTUDIANTES "A";MOVISTAR ESTUDIANTES "A";;30/11/2025;20:00;;;ANTELA PARADA, PABELLON;FRANCISCO CHICO MENDES, 8;Alcobendas;;;JR-G2-J09-FUNDALALCOBEND-MOVISTARESTUDI;
;COMPETICIONES FEDERADAS FBM;Junior Masculino LIGA AHORRAMAS - ORO;PRIMERA FASE;GRUPO 2;10;BRAINS MORALEJA A;BRAINS MORALEJA A;;FUNDAL ALCOBENDAS "A";FUNDAL ALCOBENDAS "A";;14/12/2025;18:00;;;BRAINS LA MORALEJA, COLEGIO;LA SALVIA, 48;Alcobendas;;;JR-G2-J10-BRAINSMORALEJA-FUNDALALCOBEND;
;COMPETICIONES FEDERADAS FBM;Junior Masculino LIGA AHORRAMAS - ORO;PRIMERA FASE;GRUPO 2;10;MOVISTAR ESTUDIANTES "A";MOVISTAR ESTUDIANTES "A";;LASO ACADEMY "A";LASO ACADEMY "A";;14/12/2025;20:00;;;MOVISTAR ACADEMY MAGARIÑOS,;PABELLON SERRANO, 129;Madrid;;;JR-G2-J10-MOVISTARESTUDI-LASOACADEMYA;
;COMPETICIONES FEDERADAS FBM;Junior Masculino LIGA AHORRAMAS - ORO;PRIMERA FASE;GRUPO 2;10;BALONCESTO FUENLABRADA "A";BALONCESTO FUENLABRADA "A";;ZENTRO BASKET MADRID;ZENTRO BASKET MADRID;;14/12/2025;17:00;;;EL ARROYO, PABELLON;FUENTESAUCO, 1;Fuenlabrada;;;JR-G2-J10-BALONCESTOFUEN-ZENTROBASKETMA;
